Outcome,Home_Team,Away_Team,Season,Round,Capacity,Pitch,Country,Elo_home,Elo_away,HT_Cum_Cards,HT_Cum_Scores,HT_Cum_Wins,HT_Cum_Draws,HT_Cum_Losses,HT_Cum_Streak,HT_Longest_Win_Streak,HT_Longest_Loss_Streak,AT_Cum_Cards,Cum_Scores,AT_Cum_Wins,AT_Cum_Draws,AT_Cum_Losses,AT_Cum_Streak,AT_Longest_Win_Streak,AT_Longest_Loss_Streak
1,Belenenses,Feirense,2013,1,32500,1,5,61.0,52.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,UD Oliveirense,Sporting CP II,2013,1,2670,1,5,52.0,52.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Benfica II,Sporting Braga II,2013,1,2720,1,5,52.0,52.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,Naval,CD Santa Clara,2013,1,1500,0,5,60.0,51.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Tondela,Porto II,2013,1,7500,1,5,43.0,52.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,União Madeira,SC Freamunde,2013,1,3300,1,5,53.0,48.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Vitória,SP. Covilhã,2013,1,30165,1,5,53.0,46.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Desportivo Aves,Trofense,2013,1,8560,1,5,54.0,55.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,Portimonense,Arouca,2013,1,9544,1,5,52.0,53.0,0,0,0,0,0,0,0,0,,,,,,,,
1,Leixões,Marítimo II,2013,1,9730,1,5,56.0,42.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Penafiel,Atlético CP,2013,1,6500,1,5,55.0,53.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Moreirense,Academico Viseu,2014,1,9000,1,5,58.0,37.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Trofense,Benfica II,2014,1,5074,1,5,54.0,55.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Portimonense,Farense,2014,1,9544,1,5,55.0,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Marítimo II,SP. Covilhã,2014,1,2000,1,5,44.0,48.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Penafiel,UD Oliveirense,2014,1,6500,1,5,56.0,54.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,Sporting Braga II,Tondela,2014,1,28800,1,5,53.0,46.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Leixões,Feirense,2014,1,9730,1,5,59.0,54.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,Desportivo Aves,União Madeira,2014,1,8560,1,5,56.0,55.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,CD Santa Clara,Chaves,2014,1,13277,1,5,53.0,52.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Atlético CP,Sporting CP II,2014,1,10000,1,5,52.0,55.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
-1,Beira Mar SC,Porto II,2014,1,30000,0,5,59.0,54.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Olhanense,Leixões,2015,1,11662,1,5,56.0,58.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Desportivo Aves,Marítimo II,2015,1,8560,1,5,59.0,44.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
0,Chaves,Academico Viseu,2015,1,12000,1,5,54.0,41.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
